Id,Quantidade_Avaliações,Média_Avaliações,Avaliação_Máxima,Nome_Filme,Generos,Tags
356,329,4.16,5.0,Forrest Gump (1994),Comedy|Drama|Romance|War,shrimp Vietnam bubba gump shrimp lieutenant dan stupid is as stupid does bittersweet emotional heartwarming touching
318,317,4.43,5.0,"Shawshank Redemption, The (1994)",Crime|Drama,prison Stephen King wrongful imprisonment Morgan Freeman
296,307,4.2,5.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns Harvey Keitel heroin Highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp Quentin Tarantino quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense Tarantino thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty
593,279,4.16,5.0,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,Hannibal Lector disturbing drama gothic psychology suspense
2571,278,4.19,5.0,"Matrix, The (1999)",Action|Sci-Fi|Thriller,martial arts sci-fi alternate universe philosophy post apocalyptic
260,251,4.23,5.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera
480,238,3.75,5.0,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,Dinosaur
110,237,4.03,5.0,Braveheart (1995),Action|Drama|War,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland
589,224,3.97,5.0,Terminator 2: Judgment Day (1991),Action|Sci-Fi,apocalypse Arnold Schwarzenegger nuclear war sci-fi Suspense time travel robots Scifi masterpiece
527,220,4.22,5.0,Schindler's List (1993),Drama|War,moving thought-provoking Holocaust based on a true story biography disturbing holocaust
2959,218,4.27,5.0,Fight Club (1999),Action|Crime|Drama|Thriller,dark comedy psychology thought-provoking twist ending dark comedy violence action atmospheric based on a book Brad Pitt challenging Chuck Palahniuk classic clever complicated consumerism crime dark dark comedy David Fincher disturbing double life Edward Norton fighting great acting helena bonham carter imaginary friend imdb top 250 mental illness mind-blowing mindfuck narrated Nudity (Topless) Palahnuik philosophical philosophy postmodern powerful ending psychological psychological thriller psychology quirky satirical schizophrenia social commentary societal criticism stylized surreal TERRORISM thought-provoking twist twist ending violence violent
1,215,3.92,5.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar pixar fun
1196,211,4.22,5.0,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,I am your father space space opera classic George Lucas Harrison Ford music original plot sci-fi sequel
50,204,4.24,5.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,mindfuck suspense thriller tricky twist ending heist
2858,204,4.06,5.0,American Beauty (1999),Drama|Romance,
47,203,3.98,5.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery twist ending serial killer
780,202,3.45,5.0,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,aliens
150,201,3.85,5.0,Apollo 13 (1995),Adventure|Drama|IMAX,moon NASA space
1198,200,4.21,5.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,adventure archaeology indiana jones Steven Spielberg treasure hunt archaeology ark of the covenant indiana jones
4993,198,4.11,5.0,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,fantasy high fantasy Magic mythology tolkien wizards Tolkein
1210,196,4.14,5.0,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,darth vader luke skywalker space opera
858,192,4.29,5.0,"Godfather, The (1972)",Crime|Drama,Mafia
457,190,3.99,5.0,"Fugitive, The (1993)",Thriller,based on a TV show
592,189,3.43,5.0,Batman (1989),Action|Crime|Thriller,superhero
5952,188,4.02,5.0,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,Myth Tolkein
2028,188,4.15,5.0,Saving Private Ryan (1998),Action|Drama|War,World War II
7153,185,4.12,5.0,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,Adventure ensemble cast fantasy fantasy world great soundtrack lord of the rings scenic stylized Tolkien Tolkein
588,183,3.79,5.0,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,Disney
608,181,4.12,5.0,Fargo (1996),Comedy|Crime|Drama|Thriller,based on a true story dark comedy KIDNAPPING Steve Buscemi Coen Brothers
2762,179,3.89,5.0,"Sixth Sense, The (1999)",Drama|Horror|Mystery,Atmospheric Bruce Willis ghosts imdb top 250 mindfuck stylized twist ending ghosts I see dead people
380,178,3.5,5.0,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,spies
32,177,3.98,5.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending
364,172,3.94,5.0,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,Disney Disney animated feature Oscar (Best Music - Original Score) soundtrack Disney
377,171,3.53,5.0,Speed (1994),Action|Romance|Thriller,bus
1270,171,4.04,5.0,Back to the Future (1985),Adventure|Comedy|Sci-Fi,time travel
3578,170,3.94,5.0,Gladiator (2000),Action|Adventure|Drama,ancient Rome Epic history imdb top 250 revenge Rome Russell Crowe Romans
4306,170,3.87,5.0,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,fairy tales
1580,165,3.49,5.0,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,aliens
590,164,3.84,5.0,Dances with Wolves (1990),Adventure|Drama|Western,American Indians Native Americans
648,162,3.54,5.0,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,based on a TV show
344,161,3.04,5.0,Ace Ventura: Pet Detective (1994),Comedy,
4226,159,4.12,5.0,Memento (2000),Mystery|Thriller,dark Mindfuck nonlinear psychology twist ending mystery psychological twist ending Backwards. memory mystery twist ending cerebral dreamlike
367,157,3.18,5.0,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,
6539,149,3.78,5.0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,swashbuckler
58559,149,4.24,5.0,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,psychology superhero dark gritty
1214,146,3.97,5.0,Alien (1979),Horror|Sci-Fi,aliens
595,146,3.77,5.0,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,Disney
1036,145,3.86,5.0,Die Hard (1988),Action|Crime|Thriller,
165,144,3.56,5.0,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,
500,144,3.39,5.0,Mrs. Doubtfire (1993),Comedy|Drama,cross dressing divorce men in drag
79132,143,4.07,5.0,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,action alternate reality Leonardo DiCaprio sci-fi thought-provoking visually appealing dreamlike surreal visually appealing big budget clever complicated dead wife great soundtrack heist intellectual mindfuck philosophy psychological psychology suspense thought-provoking cerebral dreamlike philosophy thought-provoking
1265,143,3.94,5.0,Groundhog Day (1993),Comedy|Fantasy|Romance,
1197,142,4.23,5.0,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,Inigo Montoya six-fingered man
1704,141,4.08,5.0,Good Will Hunting (1997),Drama|Romance,inspirational heartwarming inspirational
6377,141,3.96,5.0,Finding Nemo (2003),Adventure|Animation|Children|Comedy,Disney fish heartwarming
1721,140,3.41,5.0,Titanic (1997),Drama|Romance,shipwreck romance
1291,140,4.05,5.0,Indiana Jones and the Last Crusade (1989),Action|Adventure,archaeology Holy Grail
316,140,3.38,5.0,Stargate (1994),Action|Adventure|Sci-Fi,time travel
2628,140,3.11,5.0,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,prequel the Force
1136,136,4.16,5.0,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,british comedy Monty Python England King Arthur
597,135,3.49,5.0,Pretty Woman (1990),Comedy|Romance,prostitution
3793,133,3.7,5.0,X-Men (2000),Action|Adventure|Sci-Fi,action comic book hugh jackman marvel superhero superhero
1193,133,4.2,5.0,One Flew Over the Cuckoo's Nest (1975),Drama,emotional jack nicholson mental illness
231,133,3.06,5.0,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,
